expenditure_date,payee_name,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x14
3/29/2021,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,329,Salling   Johnny Ray Friends of,Media,Newspaper,NA,Check,NA,Electoral,NA,NA
4/29/2021,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,400,Salling   Johnny Ray Friends of,Media,Newspaper,NA,Check,NA,Electoral,NA,NA
5/18/2021,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,350,Salling   Johnny Ray Friends of,Media,Newspaper,NA,Check,NA,Electoral,NA,NA
7/1/2021,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,484,Salling   Johnny Ray Friends of,Media,Newspaper,NA,Check,NA,Electoral,NA,NA
10/12/2021,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,1792,Salling   Johnny Ray Friends of,Media,Newspaper,NA,Check,NA,Electoral,NA,NA
3/22/2021,Troop Public Relations,9103 Woodmore Center #213  Glenarden  Maryland 20706,Business/Group/Organization,625,Fraser  Stanford Friends of,Media,Videos,NA,Debit Card,NA,Electoral,NA,NA
2/14/2022,Diamond Strategies LLC,2727 29th Street NW  Unit 514  Washington  District Of Columbia 20008,Business/Group/Organization,500,Judges - Baltimore City Sitting Judges Committee Slate,Media,Consulting Fees - Media,NA,Check,NA,Electoral,November-December Retainer,NA
11/9/2021,Tholander Consulting  LLC,1221 Van St SE  Apt 722  Washington  District Of Columbia 20003,Business/Group/Organization,2881.16,McMillan  Herb Friends Of,Media,Consulting Fees - Media,NA,Check,NA,Electoral,Email Marketing,NA
10/12/2021,Tholander Consulting  LLC,1221 Van St SE  Apt 722  Washington  District Of Columbia 20003,Business/Group/Organization,3034.32,McMillan  Herb Friends Of,Media,Consulting Fees - Media,NA,Check,NA,Electoral,Email Marketing,NA
12/7/2021,Tholander Consulting  LLC,1221 Van St SE  Apt 722  Washington  District Of Columbia 20003,Business/Group/Organization,2358.12,McMillan  Herb Friends Of,Media,Consulting Fees - Media,NA,Check,NA,Electoral,Email Marketing,NA
10/12/2021,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,95,McMillan  Herb Friends Of,Media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
9/10/2021,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,340,McMillan  Herb Friends Of,Media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
6/24/2021,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,180,McMillan  Herb Friends Of,Media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
10/12/2021,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,190,McMillan  Herb Friends Of,Media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
5/7/2021,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,210,McMillan  Herb Friends Of,Media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
7/9/2021,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,225,McMillan  Herb Friends Of,Media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
5/19/2021,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,210,McMillan  Herb Friends Of,Media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
11/17/2021,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,59.37,McMillan  Herb Friends Of,Media,Online Advertising,NA,EFT,NA,Electoral,Email Service,NA
10/25/2021,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,83.73,McMillan  Herb Friends Of,Media,Online Advertising,NA,EFT,NA,Electoral,Email Service,NA
12/24/2021,MailChimp,675 Ponce de Leon Ave NE  Ste 5000  Atlanta  Georgia 30308,Business/Group/Organization,143.1,McMillan  Herb Friends Of,Media,Online Advertising,NA,EFT,NA,Electoral,Email Service,NA
